I,N, Marion County,"moderate rain,mist",2/24/2020 15:15,40.98,39,43,1014,100,6.93,140,1.52,90,39.77,-86.16
I,N, Indianapolis,"moderate rain,mist",2/24/2020 15:15,40.98,39,43,1014,100,6.93,140,1.52,90,39.77,-86.16
I,N, Warren Park,"moderate rain,mist",2/24/2020 15:15,40.95,39,43,1014,100,6.93,140,1.52,90,39.78,-86.05
I,N, Beech Grove,"moderate rain,mist",2/24/2020 15:15,40.98,39,43,1014,100,6.93,140,1.88,90,39.72,-86.09
I,N, Speedway,"moderate rain,mist",2/24/2020 15:15,41.02,39,43,1014,100,6.93,140,1.52,90,39.8,-86.27
I,N, Meridian Hills,moderate rain,2/24/2020 15:15,41.02,39,43,1014,100,3.36,140,1.78,90,39.89,-86.16
I,N, Lawrence,"moderate rain,mist",2/24/2020 15:15,40.87,39,43,1014,100,6.93,140,1.57,90,39.84,-86.03
I,N, Southport,"moderate rain,mist",2/24/2020 15:15,41,39,43,1014,100,6.93,140,2.06,90,39.67,-86.13
I,N, Clermont,"moderate rain,mist",2/24/2020 15:15,41.07,39,43,1014,100,6.93,140,1.83,90,39.81,-86.32
I,N, Bridgeport,"moderate rain,mist",2/24/2020 15:15,41.13,39,43,1014,100,6.93,140,1.69,90,39.73,-86.32
I,N, Cumberland,"moderate rain,mist",2/24/2020 15:15,40.84,39,43,1014,87,8.05,170,1.46,90,39.78,-85.96
I,N, Greenwood,"moderate rain,mist",2/24/2020 15:15,41.13,39,43,1014,100,6.93,140,2.01,90,39.61,-86.11
I,N, Zionsville,moderate rain,2/24/2020 15:15,41.02,39,43,1014,100,3.36,140,1.57,90,39.95,-86.26
I,N, Carmel,moderate rain,2/24/2020 15:15,40.84,37.99,43,1014,100,3.36,140,1.24,90,39.98,-86.12
I,N, Avon,"moderate rain,mist",2/24/2020 15:15,41.14,39,43,1014,100,6.93,140,1.83,90,39.76,-86.4
I,N, Fishers,moderate rain,2/24/2020 15:15,40.84,37.99,43,1014,100,3.36,140,1.34,90,39.96,-86.01
I,N, Brownsburg,"moderate rain,mist",2/24/2020 15:15,41.13,39,43,1014,100,6.93,140,1.71,90,39.84,-86.4
I,N, Plainfield,"moderate rain,mist",2/24/2020 15:15,41.25,39,43,1014,100,6.93,140,1.55,90,39.7,-86.4
